Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
maven,org.apache.maven.settings,DefaultMavenSettingsBuilder,buildSettings,Long Statement,The length of the statement "File userSettingsFile=getFile("${user.home}/.m2/settings.xml"`"user.home"`MavenSettingsBuilder.ALT_USER_SETTINGS_XML_LOCATION);" is 127.,51
maven,org.apache.maven.settings,DefaultMavenSettingsBuilder,buildSettings,Long Statement,The length of the statement "File globalSettingsFile=getFile("${maven.conf}/settings.xml"`"maven.conf"`MavenSettingsBuilder.ALT_GLOBAL_SETTINGS_XML_LOCATION);" is 129.,62
maven,org.apache.maven.settings,SettingsConfigurationException,SettingsConfigurationException,Long Statement,The length of the statement "super(message + (lineNumber > 0 ? System.lineSeparator() + " Line: " + lineNumber : "") + (columnNumber > 0 ? System.lineSeparator() + " Column: " + columnNumber : "")`cause);" is 175.,38
maven,org.apache.maven.settings,SettingsUtilsV4,convertToSettingsProfile,Complex Method,Cyclomatic complexity of the method is 9,75
maven,org.apache.maven.settings,SettingsUtilsV4,convertToSettingsProfile,Long Statement,The length of the statement "ActivationOS os=ActivationOS.newBuilder().arch(modelOs.getArch()).family(modelOs.getFamily()).name(modelOs.getName()).version(modelOs.getVersion()).build();" is 156.,75
maven,org.apache.maven.settings,SettingsUtilsV4,convertToSettingsProfile,Long Statement,The length of the statement "org.apache.maven.api.settings.ActivationFile file=org.apache.maven.api.settings.ActivationFile.newBuilder().exists(modelFile.getExists()).missing(modelFile.getMissing()).build();" is 178.,75
maven,org.apache.maven.settings,SettingsUtilsV4,convertToSettingsProfile,Long Statement,The length of the statement "profile.properties(modelProfile.getProperties().entrySet().stream().collect(Collectors.toMap(e -> e.getKey().toString()`e -> e.getValue().toString())));" is 152.,75
maven,org.apache.maven.settings,SettingsUtilsV4,convertFromSettingsProfile,Long Statement,The length of the statement "activation.property(org.apache.maven.api.model.ActivationProperty.newBuilder().name(settingsProp.getName()).value(settingsProp.getValue()).location("name"`toLocation(settingsProp.getLocation("name"))).location("value"`toLocation(settingsProp.getLocation("value"))).build());" is 274.,156
maven,org.apache.maven.settings,SettingsUtilsV4,convertFromSettingsProfile,Long Statement,The length of the statement "activation.os(org.apache.maven.api.model.ActivationOS.newBuilder().arch(settingsOs.getArch()).family(settingsOs.getFamily()).name(settingsOs.getName()).version(settingsOs.getVersion()).location("arch"`toLocation(settingsOs.getLocation("arch"))).location("family"`toLocation(settingsOs.getLocation("family"))).location("name"`toLocation(settingsOs.getLocation("name"))).location("version"`toLocation(settingsOs.getLocation("version"))).build());" is 444.,156
maven,org.apache.maven.settings,SettingsUtilsV4,convertFromSettingsProfile,Long Statement,The length of the statement "activation.file(ActivationFile.newBuilder().exists(settingsFile.getExists()).missing(settingsFile.getMissing()).location("exists"`toLocation(settingsFile.getLocation("exists"))).location("missing"`toLocation(settingsFile.getLocation("missing"))).build());" is 255.,156
maven,org.apache.maven.settings,SettingsUtilsV4,convertFromSettingsProfile,Long Statement,The length of the statement "profile.pluginRepositories(pluginRepos.stream().map(SettingsUtilsV4::convertFromSettingsRepository).collect(Collectors.toList()));" is 130.,156
