Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
maven,org.apache.maven.settings,GlobalSettingsTest,testValidGlobalSettings,8,1,0,37,1,,
maven,org.apache.maven.settings,DefaultMavenSettingsBuilder,DefaultMavenSettingsBuilder,3,1,1,46,0,,
maven,org.apache.maven.settings,DefaultMavenSettingsBuilder,buildSettings,4,1,0,51,0,org.apache.maven.settings.DefaultMavenSettingsBuilder,org.apache.maven.settings.DefaultMavenSettingsBuilder
maven,org.apache.maven.settings,DefaultMavenSettingsBuilder,buildSettings,3,1,1,58,0,org.apache.maven.settings.DefaultMavenSettingsBuilder,org.apache.maven.settings.DefaultMavenSettingsBuilder
maven,org.apache.maven.settings,DefaultMavenSettingsBuilder,buildSettings,8,1,1,62,0,org.apache.maven.settings.DefaultMavenSettingsBuilder,org.apache.maven.settings.DefaultMavenSettingsBuilder
maven,org.apache.maven.settings,DefaultMavenSettingsBuilder,buildSettings,3,1,2,73,0,,
maven,org.apache.maven.settings,DefaultMavenSettingsBuilder,build,8,1,1,78,0,,
maven,org.apache.maven.settings,DefaultMavenSettingsBuilder,buildSettings,9,1,1,86,0,org.apache.maven.settings.DefaultMavenSettingsBuilder,org.apache.maven.settings.DefaultMavenSettingsBuilder
maven,org.apache.maven.settings,DefaultMavenSettingsBuilder,getFile,14,3,3,98,0,,
maven,org.apache.maven.settings,MavenSettingsBuilder,buildSettings,0,1,1,38,0,,
maven,org.apache.maven.settings,MavenSettingsBuilder,buildSettings,0,1,0,40,0,,
maven,org.apache.maven.settings,MavenSettingsBuilder,buildSettings,0,1,1,47,0,,
maven,org.apache.maven.settings,MavenSettingsBuilder,buildSettings,0,1,1,55,0,,
maven,org.apache.maven.settings,MavenSettingsBuilder,buildSettings,0,1,2,63,0,,
maven,org.apache.maven.settings,SettingsConfigurationException,SettingsConfigurationException,3,1,1,30,0,,
maven,org.apache.maven.settings,SettingsConfigurationException,SettingsConfigurationException,3,1,2,34,0,,
maven,org.apache.maven.settings,SettingsConfigurationException,SettingsConfigurationException,5,1,4,38,0,,
maven,org.apache.maven.settings,SettingsConfigurationException,getColumnNumber,3,1,0,48,0,,
maven,org.apache.maven.settings,SettingsConfigurationException,getLineNumber,3,1,0,52,0,,
maven,org.apache.maven.settings,SettingsUtils,SettingsUtils,2,1,0,27,0,,
maven,org.apache.maven.settings,SettingsUtils,merge,5,2,3,31,0,,
maven,org.apache.maven.settings,SettingsUtils,convertToSettingsProfile,3,1,1,42,0,,
maven,org.apache.maven.settings,SettingsUtils,convertFromSettingsProfile,3,1,1,50,0,,
maven,org.apache.maven.settings,SettingsUtils,copySettings,18,2,1,59,0,,
maven,org.apache.maven.settings,SettingsUtilsV4,SettingsUtilsV4,2,1,0,63,0,,
maven,org.apache.maven.settings,SettingsUtilsV4,merge,3,1,2,67,0,,
maven,org.apache.maven.settings,SettingsUtilsV4,convertToSettingsProfile,44,9,1,75,0,org.apache.maven.settings.SettingsUtilsV4,org.apache.maven.settings.SettingsUtilsV4
maven,org.apache.maven.settings,SettingsUtilsV4,convertFromSettingsProfile,38,7,1,156,0,org.apache.maven.settings.SettingsUtilsV4,org.apache.maven.settings.SettingsUtilsV4
maven,org.apache.maven.settings,SettingsUtilsV4,convertFromSettingsRepository,18,3,1,236,0,org.apache.maven.settings.SettingsUtilsV4,org.apache.maven.settings.SettingsUtilsV4
maven,org.apache.maven.settings,SettingsUtilsV4,convertRepositoryPolicy,4,1,1,263,0,org.apache.maven.settings.SettingsUtilsV4,org.apache.maven.settings.SettingsUtilsV4
maven,org.apache.maven.settings,SettingsUtilsV4,convertToSettingsRepository,4,1,1,280,0,org.apache.maven.settings.SettingsUtilsV4,org.apache.maven.settings.SettingsUtilsV4
maven,org.apache.maven.settings,SettingsUtilsV4,convertRepositoryPolicy,4,1,1,297,0,,
maven,org.apache.maven.settings,SettingsUtilsV4,copySettings,6,2,1,310,0,,
maven,org.apache.maven.settings,SettingsUtilsV4,toLocation,10,2,1,321,0,,
maven,org.apache.maven.settings,PomConstructionWithSettingsTest,setUp,3,1,0,63,0,,
maven,org.apache.maven.settings,PomConstructionWithSettingsTest,testSettingsNoPom,4,1,0,68,1,,
