Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
maven,org.apache.maven.api,Session,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
maven,org.apache.maven.artifact,AbstractArtifactComponentTestCase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
maven,org.apache.maven.artifact.repository.metadata,DefaultRepositoryMetadataManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
maven,org.apache.maven.artifact.resolver,ArtifactResolver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven.artifact.resolver,DefaultArtifactResolver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
maven,org.apache.maven.artifact.resolver,ArtifactResolverTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
maven,org.apache.maven.repository,RepositorySystem,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven.repository,LegacyRepositorySystemTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
maven,org.apache.maven.repository,TestRepositorySystem,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
maven,org.apache.maven.artifact.manager,DefaultWagonManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
maven,org.apache.maven,DefaultProjectDependenciesResolver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven,AbstractCoreMavenComponentTestCase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
maven,org.apache.maven,DefaultMaven,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 31
maven,org.apache.maven,AbstractCoreMavenComponentTestCase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven,DefaultMavenTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven,MavenLifecycleParticipantTest.InjectDependencyLifecycleListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
maven,org.apache.maven,MavenLifecycleParticipantTest.InjectReactorDependency,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
maven,org.apache.maven.execution,DefaultMavenExecutionRequest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
maven,org.apache.maven.execution,MavenSession,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
maven,org.apache.maven.plugin.internal,DefaultPluginManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
maven,org.apache.maven.plugin.internal,DefaultMavenPluginManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 25
maven,org.apache.maven.plugin,PluginManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
maven,org.apache.maven.plugin,BuildPluginManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
maven,org.apache.maven.plugin,DefaultBuildPluginManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24
maven,org.apache.maven.plugin,MavenPluginManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
maven,org.apache.maven.plugin,PluginLoaderException,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven.plugin,PluginParameterExpressionEvaluatorTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
maven,org.apache.maven.plugin,PluginParameterExpressionEvaluatorV4Test,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
maven,org.apache.maven.plugin,ReflectionValueExtractorTest.Artifact,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
maven,org.apache.maven.plugin,ReflectionValueExtractorTest.Project,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
maven,org.apache.maven.plugin,ReflectionValueExtractorTest.Build,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
maven,org.apache.maven.plugin,ReflectionValueExtractorTest.Dependency,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
maven,org.apache.maven.plugin,ReflectionValueExtractorTest.Scm,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
maven,org.apache.maven.plugin,ReflectionValueExtractorTest.ValueHolder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
maven,org.apache.maven.project.artifact,DefaultMavenMetadataCache.CacheKey,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
maven,org.apache.maven.project.artifact,MavenMetadataSource,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24
maven,org.apache.maven.project,DefaultMavenProjectBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
maven,org.apache.maven.project,AbstractMavenProjectTestCase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven.project,TestProjectBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
maven,org.apache.maven.project,DefaultProjectBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 31
maven,org.apache.maven.project,DefaultProjectBuildingHelper,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
maven,org.apache.maven.project,MavenProject,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
maven,org.apache.maven.project,PomConstructionTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
maven,org.apache.maven.project,ProjectBuilderTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
maven,org.apache.maven.repository.legacy,LegacyRepositorySystem,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
maven,org.apache.maven.repository.legacy,DefaultWagonManagerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
maven,org.apache.maven.repository.legacy.resolver,DefaultLegacyArtifactCollector,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
maven,org.apache.maven.repository.legacy.resolver,DefaultArtifactCollectorTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
maven,org.apache.maven.repository.metadata,MetadataResolutionResult,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
maven,org.apache.maven.bridge,MavenRepositorySystem,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
maven,org.apache.maven.graph,DefaultGraphBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
maven,org.apache.maven.graph,DefaultGraphBuilderTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
maven,org.apache.maven.internal.aether,DefaultRepositorySystemSessionFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
maven,org.apache.maven.internal.impl,AbstractSession,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 21
maven,org.apache.maven.internal.impl,DefaultProjectBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
maven,org.apache.maven.internal.impl,DefaultProjectManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven.internal.impl,DefaultSession,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
maven,org.apache.maven.internal.impl,TestApi,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
maven,org.apache.maven.lifecycle,DefaultLifecycleExecutor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
maven,org.apache.maven.lifecycle,LifecycleExecutorSubModulesTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven.lifecycle,LifecycleExecutorTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 20
maven,org.apache.maven.lifecycle.internal.builder,BuilderCommon,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
maven,org.apache.maven.lifecycle.internal.builder,BuilderCommonTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven.lifecycle.internal.builder.multithreaded,MultiThreadedBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
maven,org.apache.maven.lifecycle.internal,DefaultLifecycleExecutionPlanCalculator,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
maven,org.apache.maven.lifecycle.internal,DefaultLifecyclePluginAnalyzer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven.lifecycle.internal,DefaultMojoExecutionConfigurator,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven.lifecycle.internal,LifecycleDependencyResolver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
maven,org.apache.maven.lifecycle.internal,LifecycleModuleBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
maven,org.apache.maven.lifecycle.internal,LifecycleStarter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
maven,org.apache.maven.lifecycle.internal,MojoDescriptorCreator,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
maven,org.apache.maven.lifecycle.internal,MojoExecutor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
maven,org.apache.maven.lifecycle.internal,LifecycleExecutionPlanCalculatorTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
maven,org.apache.maven.lifecycle.internal,LifecycleModuleBuilderTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven.lifecycle.internal.stub,LifecycleExecutionPlanCalculatorStub,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
maven,org.apache.maven.lifecycle.internal.stub,MojoExecutorStub,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
maven,org.apache.maven.model,InputLocation.StringFormatter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
maven,org.apache.maven.cli,MavenCli,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 35
maven,org.apache.maven.cli,MavenCliTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
maven,org.apache.maven.cli.configuration,SettingsXmlConfigurationProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
maven,org.apache.maven.cli.event,ExecutionEventLogger,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
maven,org.slf4j.impl,StaticLoggerBinder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: REQUESTED_API_VERSION (32)
maven,org.apache.maven.model.v4,Xpp3DomPerfTest.AdditionState,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
maven,org.apache.maven.model.building,DefaultModelBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 54
maven,org.apache.maven.model.building,DefaultModelBuilderFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24
maven,org.apache.maven.model.building,DefaultModelBuildingRequest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven.model.building,DefaultModelProblemCollector,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven.model.building,DefaultTransformerContext.Holder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
maven,org.apache.maven.repository.internal,MavenResolverModule,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
maven,org.apache.maven.settings.building,DefaultSettingsBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
maven,org.apache.maven.toolchain.building,DefaultToolchainsBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
